locus tag	pan locus tag	pan gene symbol
S1		-
SAOUHSC_00001	SAUPAN000006000	dnaA
S2		-
SAOUHSC_00002	SAUPAN000007000	dnaN
SAOUHSC_00003	SAUPAN000009000	-
SAOUHSC_00004	SAUPAN000010000	recF
SAOUHSC_00005	SAUPAN000011000	gyrB
SAOUHSC_00006	SAUPAN000012000	gyrA
SAOUHSC_00007	SAUPAN000013000	nnrD
S3		-
SAOUHSC_00008	SAUPAN000014000	hutH
S4		-
S5		-
SAOUHSC_00009	SAUPAN000017000	serS
S6		-
SAOUHSC_00010	SAUPAN000018000	-
SAOUHSC_00012	SAUPAN000019000	-
S7		-
SAOUHSC_00013	SAUPAN000021000	metX
S8		-
SAOUHSC_00014	SAUPAN000023000	-
SAOUHSC_00015	SAUPAN000024000	gdpP
SAOUHSC_00017	SAUPAN000025000	rplI
SAOUHSC_00018	SAUPAN000026000	dnaC
SAOUHSC_00019	SAUPAN000028000	purA
SAOUHSC_T00018	SAUPAN000029000	trnaE
SAOUHSC_T00011	SAUPAN000030000	trnaD
S9		-
SAOUHSC_00020	SAUPAN000032000	walR
SAOUHSC_00021	SAUPAN000033000	walK
SAOUHSC_00022	SAUPAN000034000	walH
SAOUHSC_00023	SAUPAN000035000	walI
S10		-
SAOUHSC_00024	SAUPAN000036000	walJ
SAOUHSC_00025	SAUPAN000037000	adsA
SAOUHSC_00026	SAUPAN000039000	-
S11		-
SAOUHSC_00027	SAUPAN000040000	orfX
S12		-
SAOUHSC_00028	SAUPAN000830000	-
SAOUHSC_00029	SAUPAN000831000	-
S13		-
SAOUHSC_00030	SAUPAN000832000	-
S14		-
SAOUHSC_00031	SAUPAN000051000	-
SAOUHSC_00032	SAUPAN000490000	-
S15		-
SAOUHSC_00033	SAUPAN000489000	tauE
SAOUHSC_00034	SAUPAN000488000	cstR
SAOUHSC_00035	SAUPAN000487000	cstA
SAOUHSC_00036	SAUPAN000486000	cstB
SAOUHSC_00037	SAUPAN000838000	sqr
S16		-
SAOUHSC_00038	SAUPAN000751000	-
S17		-
SAOUHSC_00039	SAUPAN000382000	-
S18		-
S19		-
SAOUHSC_00040	SAUPAN000383000	-
SAOUHSC_00041	SAUPAN000384000	-
SAOUHSC_00042	SAUPAN000385000	-
SAOUHSC_00043	SAUPAN000386000	-
SAOUHSC_00044	SAUPAN000387000	-
S20		-
S21		-
SAOUHSC_00045	SAUPAN000846000	-
SAOUHSC_00046	SAUPAN000670000	-
SAOUHSC_00047	SAUPAN000148000	-
SAOUHSC_00049	SAUPAN000849000	-
SAOUHSC_00050	SAUPAN000853000	-
SAOUHSC_00051	SAUPAN000858000	plc
SAOUHSC_00052	SAUPAN000860000	csa1A
SAOUHSC_00053	SAUPAN000859000	-
SAOUHSC_00054	SAUPAN000862000	-
SAOUHSC_00055	SAUPAN000861000	-
S22		-
S23		-
SAOUHSC_00056	SAUPAN000891000	-
SAOUHSC_00057	SAUPAN000893000	-
SAOUHSC_00058	SAUPAN000894000	norC
S24		-
S25		-
SAOUHSC_00060	SAUPAN000899000	nptA
SAOUHSC_00061	SAUPAN000902000	-
SAOUHSC_00062	SAUPAN000903000	-
SAOUHSC_00064	SAUPAN000904000	norG
S26		-
SAOUHSC_00065	SAUPAN000905000	-
S27		-
S28		-
SAOUHSC_00067	SAUPAN000906000	lctP1
S29		-
SAOUHSC_00069	SAUPAN000909000	spa
SAOUHSC_00070	SAUPAN000910000	sarS
SAOUHSC_00071	SAUPAN000911000	sirC
S30		-
SAOUHSC_00072	SAUPAN000912000	sirB
SAOUHSC_00074	SAUPAN000913000	sirA
S31		-
S32		-
SAOUHSC_00075	SAUPAN000914000	sbnA
SAOUHSC_00076	SAUPAN000915000	sbnB
SAOUHSC_00077	SAUPAN000916000	sbnC
SAOUHSC_00078	SAUPAN000918000	sbnD
SAOUHSC_00079	SAUPAN000919000	sbnE
SAOUHSC_00080	SAUPAN000920000	sbnF
SAOUHSC_00081	SAUPAN000921000	sbnG
SAOUHSC_00082	SAUPAN000922000	sbnH
SAOUHSC_00083	SAUPAN000923000	sbnI
SAOUHSC_A00084	SAUPAN000924000	-
S33		-
SAOUHSC_00084	SAUPAN000926000	-
SAOUHSC_00085	SAUPAN000928000	-
SAOUHSC_00086	SAUPAN000932000	butA
SAOUHSC_00087	SAUPAN000934000	-
SAOUHSC_00088	SAUPAN000935000	galE
SAOUHSC_00089	SAUPAN000938000	-
SAOUHSC_00090	SAUPAN000939000	-
SAOUHSC_00091	SAUPAN000940000	-
SAOUHSC_00092	SAUPAN000941000	-
SAOUHSC_00093	SAUPAN000942000	sodM
SAOUHSC_00094	SAUPAN000943000	sasD
S34		-
SAOUHSC_00096	SAUPAN000946000	-
SAOUHSC_A00097	SAUPAN000947000	-
SAOUHSC_00097	SAUPAN000948000	deoD1
SAOUHSC_00099	SAUPAN000949000	tet38
SAOUHSC_00100	SAUPAN000950000	deoC1
SAOUHSC_00101	SAUPAN000951000	deoB
SAOUHSC_00102	SAUPAN000954000	phnE1
SAOUHSC_00103	SAUPAN000955000	phnE2
SAOUHSC_00104	SAUPAN000956000	phnC
SAOUHSC_00105	SAUPAN000957000	phnD
SAOUHSC_00106	SAUPAN000958000	-
SAOUHSC_00107	SAUPAN000959000	-
SAOUHSC_00108	SAUPAN000964000	-
SAOUHSC_00109	SAUPAN000965000	-
SAOUHSC_00110	SAUPAN000966000	-
SAOUHSC_00111	SAUPAN000967000	-
S35		-
SAOUHSC_00112	SAUPAN000971000	-
SAOUHSC_00113	SAUPAN000972000	adhE
S36		-
S37		-
SAOUHSC_00114	SAUPAN000974000	capA
SAOUHSC_00115	SAUPAN000975000	capB
SAOUHSC_00116	SAUPAN000976000	capC
SAOUHSC_00117	SAUPAN000977000	capD
SAOUHSC_00118	SAUPAN000979000	capE
SAOUHSC_00119	SAUPAN000980000	capF
SAOUHSC_00120	SAUPAN000981000	capG
SAOUHSC_00121	SAUPAN000982000	capH
SAOUHSC_00122	SAUPAN000986000	capI
SAOUHSC_00123	SAUPAN000987000	capJ
SAOUHSC_00124	SAUPAN000989000	capK
SAOUHSC_00125	SAUPAN000990000	capL
SAOUHSC_00126	SAUPAN000991000	capM
SAOUHSC_00127	SAUPAN000992000	capN
SAOUHSC_00128	SAUPAN000993000	capO
S38		-
SAOUHSC_00129	SAUPAN000994000	capP
SAOUHSC_00130	SAUPAN001001000	isdI
SAOUHSC_00131	SAUPAN001002000	-
S39		-
S40		-
SAOUHSC_00132	SAUPAN001003000	aldA
S41		-
S42		-
S43		-
SAOUHSC_00133	SAUPAN001005000	-
SAOUHSC_00134	SAUPAN001008000	-
SAOUHSC_00135	SAUPAN001009000	-
S44		-
SAOUHSC_00136	SAUPAN001010000	ssuB
SAOUHSC_00137	SAUPAN001011000	ssuA
SAOUHSC_00138	SAUPAN001012000	ssuC
SAOUHSC_00139	SAUPAN001013000	-
S45		-
SAOUHSC_00141	SAUPAN001014000	-
S46		-
SAOUHSC_00142	SAUPAN001016000	fdh
S47		-
S48		-
SAOUHSC_00143	SAUPAN001017000	-
S49		-
SAOUHSC_00144	SAUPAN001018000	ausA
SAOUHSC_00145	SAUPAN001019000	-
SAOUHSC_00146	SAUPAN001020000	-
SAOUHSC_00147	SAUPAN001021000	argB
SAOUHSC_00148	SAUPAN001023000	argJ
SAOUHSC_00149	SAUPAN001024000	argC
SAOUHSC_00150	SAUPAN001025000	argD
SAOUHSC_00151	SAUPAN001028000	brnQ1
SAOUHSC_00152	SAUPAN001029000	-
S50		-
SAOUHSC_00153	SAUPAN001030000	-
SAOUHSC_00154	SAUPAN001031000	-
SAOUHSC_00155	SAUPAN001032000	glcA
S51		-
S52		-
SAOUHSC_00156	SAUPAN001033000	mupG
SAOUHSC_00157	SAUPAN001034000	murQ
SAOUHSC_00158	SAUPAN001035000	murP
SAOUHSC_00160	SAUPAN001036000	murR
S53		-
SAOUHSC_00161	SAUPAN001037000	-
SAOUHSC_00162	SAUPAN001040000	hsdR
SAOUHSC_00163	SAUPAN001042000	-
SAOUHSC_00164	SAUPAN001043000	-
SAOUHSC_00166	SAUPAN001046000	-
S54		-
SAOUHSC_00167	SAUPAN001056000	-
SAOUHSC_00168	SAUPAN001057000	-
SAOUHSC_00169	SAUPAN001058000	-
SAOUHSC_00170	SAUPAN001059000	-
