# Program:featureCounts v1.6.3; Command:"featureCounts" "--extraAttributes" "Name" "-t" "gene" "-g" "ID" "-F" "GTF" "-T" "3" "-a" "tmp/reference.gff" "-o" "tmp/counts.txt" "tmp/mapped_reads/SRR10379721_mapped.sam" "tmp/mapped_reads/SRR10379722_mapped.sam" "tmp/mapped_reads/SRR10379723_mapped.sam" "tmp/mapped_reads/SRR10379724_mapped.sam" "tmp/mapped_reads/SRR10379725_mapped.sam" "tmp/mapped_reads/SRR10379726_mapped.sam" 
Geneid	Chr	Start	End	Strand	Length	Name	tmp/mapped_reads/SRR10379721_mapped.sam	tmp/mapped_reads/SRR10379722_mapped.sam	tmp/mapped_reads/SRR10379723_mapped.sam	tmp/mapped_reads/SRR10379724_mapped.sam	tmp/mapped_reads/SRR10379725_mapped.sam	tmp/mapped_reads/SRR10379726_mapped.sam
gene-SAOUHSC_00001	CP000253.1	517	1878	+	1362	SAOUHSC_00001	20678	17047	13186	14120	19569	3990
gene-SAOUHSC_00002	CP000253.1	2156	3289	+	1134	SAOUHSC_00002	15976	12174	11155	12125	15034	2119
gene-SAOUHSC_00003	CP000253.1	3670	3915	+	246	SAOUHSC_00003	1622	1213	874	1375	1016	126
gene-SAOUHSC_00004	CP000253.1	3912	5024	+	1113	SAOUHSC_00004	13994	11418	9933	7582	6709	839
gene-SAOUHSC_00005	CP000253.1	5034	6968	+	1935	SAOUHSC_00005	29539	26379	24185	12046	12073	3492
gene-SAOUHSC_00006	CP000253.1	7005	9668	+	2664	SAOUHSC_00006	45169	33351	32195	18910	12471	4001
gene-SAOUHSC_00007	CP000253.1	9755	10456	-	702	SAOUHSC_00007	7039	4917	4753	3552	5008	1208
gene-SAOUHSC_00008	CP000253.1	10893	12407	+	1515	SAOUHSC_00008	3221	2562	2419	1358	1972	311
gene-SAOUHSC_00009	CP000253.1	12786	14072	+	1287	SAOUHSC_00009	2467	1979	1432	40247	77893	13348
gene-SAOUHSC_00010	CP000253.1	14722	15417	+	696	SAOUHSC_00010	353	302	274	2154	4633	273
gene-SAOUHSC_00012	CP000253.1	15414	15743	+	330	SAOUHSC_00012	210	175	171	1161	2752	299
gene-SAOUHSC_00013	CP000253.1	16106	17074	+	969	SAOUHSC_00013	1351	1315	999	4711	8955	1895
gene-SAOUHSC_00014	CP000253.1	17365	18303	+	939	SAOUHSC_00014	4655	3433	3543	7026	8905	1176
gene-SAOUHSC_00015	CP000253.1	18318	20285	+	1968	SAOUHSC_00015	25865	21834	22438	20876	25792	5822
gene-SAOUHSC_00017	CP000253.1	20282	20734	+	453	SAOUHSC_00017	6389	5531	5664	5238	6496	1042
gene-SAOUHSC_00018	CP000253.1	20766	22166	+	1401	SAOUHSC_00018	11773	10372	8760	14311	19500	6291
gene-SAOUHSC_00019	CP000253.1	22444	23727	+	1284	SAOUHSC_00019	7007	6279	6876	8575	5225	3218
gene-SAOUHSC_T00018	CP000253.1	24157	24231	+	75	SAOUHSC_T00018	86	42	38	47	7	130
gene-SAOUHSC_T00011	CP000253.1	24239	24311	+	73	SAOUHSC_T00011	370	361	159	229	31	200
gene-SAOUHSC_00020	CP000253.1	24931	25632	+	702	SAOUHSC_00020	3874	3551	2698	3918	5993	921
gene-SAOUHSC_00021	CP000253.1	25645	27471	+	1827	SAOUHSC_00021	12378	10600	8368	11363	13107	6165
gene-SAOUHSC_00022	CP000253.1	27515	28798	+	1284	SAOUHSC_00022	12999	11016	9137	10257	12036	1989
gene-SAOUHSC_00023	CP000253.1	28799	29587	+	789	SAOUHSC_00023	9543	7827	7311	6826	8127	2075
gene-SAOUHSC_00024	CP000253.1	29977	30777	+	801	SAOUHSC_00024	2795	1710	1851	1344	1082	373
gene-SAOUHSC_00025	CP000253.1	31005	33323	+	2319	SAOUHSC_00025	2873	2071	2138	1241	1550	675
gene-SAOUHSC_00026	CP000253.1	33555	34034	-	480	SAOUHSC_00026	105	50	114	17	21	2
gene-SAOUHSC_00027	CP000253.1	33691	34170	+	480	SAOUHSC_00027	378	330	288	324	527	146
gene-SAOUHSC_00028	CP000253.1	34375	34509	-	135	SAOUHSC_00028	12	17	12	30	40	7
gene-SAOUHSC_00029	CP000253.1	34473	34565	+	93	SAOUHSC_00029	1	3	7	18	9	3
gene-SAOUHSC_00030	CP000253.1	34712	36457	+	1746	SAOUHSC_00030	1582	1159	1334	2385	3944	296
gene-SAOUHSC_00031	CP000253.1	36551	37003	-	453	SAOUHSC_00031	28563	18112	29748	2106	2327	325
gene-SAOUHSC_00032	CP000253.1	37019	37120	-	102	SAOUHSC_00032	57	28	128	22	40	18
gene-SAOUHSC_00033	CP000253.1	37218	37973	-	756	SAOUHSC_00033	14292	9538	16213	1466	1161	149
gene-SAOUHSC_00034	CP000253.1	37973	38233	-	261	SAOUHSC_00034	3690	2781	3282	332	323	20
gene-SAOUHSC_00035	CP000253.1	38370	39437	+	1068	SAOUHSC_00035	24767	16411	25479	1015	473	39
gene-SAOUHSC_00036	CP000253.1	39468	40802	+	1335	SAOUHSC_00036	46774	32714	48401	2067	1140	283
gene-SAOUHSC_00037	CP000253.1	40821	42014	+	1194	SAOUHSC_00037	45173	29474	42561	8533	8156	3304
gene-SAOUHSC_00038	CP000253.1	42281	42382	-	102	SAOUHSC_00038	384	302	274	228	164	21
gene-SAOUHSC_00039	CP000253.1	42681	43613	-	933	SAOUHSC_00039	4202	3781	3012	3478	4314	2013
gene-SAOUHSC_00040	CP000253.1	43976	44179	+	204	SAOUHSC_00040	40	30	38	33	51	6
gene-SAOUHSC_00041	CP000253.1	44228	44524	+	297	SAOUHSC_00041	753	581	581	455	635	68
gene-SAOUHSC_00042	CP000253.1	44596	45816	-	1221	SAOUHSC_00042	1965	1403	1598	1005	1112	140
gene-SAOUHSC_00043	CP000253.1	45809	46360	-	552	SAOUHSC_00043	782	540	618	268	223	33
gene-SAOUHSC_00044	CP000253.1	46473	47333	+	861	SAOUHSC_00044	1883	1313	1546	805	977	73
gene-SAOUHSC_00045	CP000253.1	47689	48222	-	534	SAOUHSC_00045	144	91	154	316	521	72
gene-SAOUHSC_00046	CP000253.1	48313	49056	+	744	SAOUHSC_00046	422	325	391	491	707	34
gene-SAOUHSC_00047	CP000253.1	49490	50092	+	603	SAOUHSC_00047	728	423	502	497	946	50
gene-SAOUHSC_00049	CP000253.1	50359	53511	+	3153	SAOUHSC_00049	2760	1817	2104	2405	3242	332
gene-SAOUHSC_00050	CP000253.1	53568	54050	+	483	SAOUHSC_00050	1498	923	1216	938	1305	113
gene-SAOUHSC_00051	CP000253.1	54255	55241	+	987	SAOUHSC_00051	458	232	256	510	725	195
gene-SAOUHSC_00052	CP000253.1	55462	56232	+	771	SAOUHSC_00052	187	107	143	91	144	19
gene-SAOUHSC_00053	CP000253.1	56284	57054	+	771	SAOUHSC_00053	252	174	235	192	364	29
gene-SAOUHSC_00054	CP000253.1	57118	57888	+	771	SAOUHSC_00054	404	293	326	261	412	42
gene-SAOUHSC_00055	CP000253.1	57955	58722	+	768	SAOUHSC_00055	677	428	500	395	538	55
gene-SAOUHSC_00056	CP000253.1	58855	61053	+	2199	SAOUHSC_00056	3651	2832	2396	4950	7006	754
gene-SAOUHSC_00057	CP000253.1	61204	62382	+	1179	SAOUHSC_00057	695	591	446	793	933	282
gene-SAOUHSC_00058	CP000253.1	62384	63772	+	1389	SAOUHSC_00058	1080	773	675	1271	1991	416
gene-SAOUHSC_00060	CP000253.1	64265	65926	-	1662	SAOUHSC_00060	2061	1593	2005	2336	2025	798
gene-SAOUHSC_00061	CP000253.1	66252	68027	-	1776	SAOUHSC_00061	2426	1611	1499	2753	3423	887
gene-SAOUHSC_00062	CP000253.1	68201	69073	-	873	SAOUHSC_00062	233	106	142	106	109	14
gene-SAOUHSC_00064	CP000253.1	69186	70583	+	1398	SAOUHSC_00064	282	170	225	255	268	27
gene-SAOUHSC_00065	CP000253.1	70773	71246	+	474	SAOUHSC_00065	433	326	308	1736	2054	308
gene-SAOUHSC_00067	CP000253.1	71508	73100	+	1593	SAOUHSC_00067	5430	3872	3800	6121	7625	2185
gene-SAOUHSC_00069	CP000253.1	73429	74979	-	1551	SAOUHSC_00069	2396	2397	1628	9036	5106	882
gene-SAOUHSC_00070	CP000253.1	75400	76152	-	753	SAOUHSC_00070	417	285	369	970	1074	50
gene-SAOUHSC_00071	CP000253.1	76521	77435	-	915	SAOUHSC_00071	4273	4439	2480	11140	13500	1670
gene-SAOUHSC_00072	CP000253.1	77516	78511	-	996	SAOUHSC_00072	698	483	389	328	456	181
